© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
GPVI-mediated activation cascade	5.48E00	3.43E-01	-1.155	CDC42,FCER1G,LAT,LCP2,PIK3R3,PIK3R5,PTPN11,PTPN6,RHOB,SYK,VAV1,VAV3	
Microautophagy Signaling Pathway	5.44E00	1.81E-01	-3.900	BAG6,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,RAB7A,RHOT1,SEC23B,SEC24B,SEC24C,SEC31A,TFEB,VAMP8,VPS16,VPS18,VPS25,VPS36,VPS4A,VPS4B	
IGF-1 Signaling	5.32E00	2.1E-01	-3.130	AKT1,CSNK2A2,CSNK2B,GRB2,IGFBP2,MAP2K2,MAPK3,NRAS,PIK3R3,PIK3R5,PRKACA,PRKCI,PTPN11,RAF1,RAP1A,RPS6KB2,SHC1,SOCS4,SOS2,SRF,STAT3,YWHAG	
Deadenylation-dependent mRNA decay	5.28E00	2.73E-01	-1.291	CNOT10,CNOT3,CNOT8,DIS3,EIF4A3,EIF4E,EIF4G1,EXOSC4,EXOSC7,HBS1L,LSM4,LSM5,LSM7,PARN,TUT4	
Signaling by NOTCH4	5.27E00	2.29E-01	-3.441	ACTA2,AKT1,CUL1,FBXW7,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,SKP1	
Cell Cycle: G1/S Checkpoint Regulation	5.24E00	2.46E-01	2.887	ABL1,ATM,CCNE1,CCNE2,CDK4,CUL1,E2F2,E2F4,E2F8,HDAC4,HDAC7,PAK1IP1,RBL1,SKP1,SKP2,TFDP1,TGFB2	
Estrogen Receptor Signaling	5.22E00	1.34E-01	-2.655	ADCY3,AKT1,ARG2,ATF2,ATP5F1A,ATP5F1E,CACNB1,CCNC,CDK8,CREB3,CYC1,EIF2B1,EIF4E,EIF4EBP1,GNAI2,GNB4,GRB2,GSK3A,JAK3,LIMK1,MAP2K2,MAPK3,MED1,MED13,MYL6B,NDUFA13,NDUFA2,NDUFA8,NDUFAB1,NDUFB10,NDUFB3,NDUFB7,NDUFB8,NDUFS3,NDUFS7,NDUFS8,NDUFV3,NFKB2,NRAS,PDIA3,PIK3R3,PIK3R5,PLCD3,PRKACA,PRKCI,RAF1,RAP1A,RELA,RPS6KB2,SDHC,SHC1,SOS2,SP1,THRAP3,VEGFC	
RHO GTPases Activate Formins	5.2E00	1.87E-01	-2.746	BUB1,BUB3,CDC42,CDCA8,CENPA,CENPO,CLASP2,CLIP1,DVL3,FMNL1,KIF2C,NDEL1,NSL1,NUDC,NUF2,NUP43,PPP2CA,PPP2R5D,PPP2R5E,RCC2,RHOB,SCAI,SRF,TUBA1B,XPO1,ZWINT	
Neutrophil Extracellular Trap Signaling Pathway	5.19E00	1.35E-01	-4.627	AKT1,ARG2,ATP5F1A,ATP5F1E,C1QA,C1QC,CASP10,CASP5,CASP7,CASP8,CYC1,FGR,GSDMD,HCK,MAP2K2,MAP2K5,MAPK14,MAPK3,MLKL,NCF1,NDUFA13,NDUFA2,NDUFA8,NDUFAB1,NDUFB10,NDUFB3,NDUFB7,NDUFB8,NDUFS3,NDUFS7,NDUFS8,NDUFV3,NFKB2,PDIA3,PIK3R3,PIK3R5,PLAAT4,PLB1,PLCD3,PPID,PRKCI,RAF1,RIPK1,SDHC,SIGLEC9,SYK,TIMM10,TIMM17A,TIMM44,TIMM8B,TOMM22,TOMM34,TOMM40L,TOMM5	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	5.18E00	1.68E-01	-3.024	AKT1,APOA2,APOB,ARG2,CDC42,CHUK,JAK3,MAP3K11,MAP3K3,MAPK14,MAPK3,NCF1,NFKB2,NFKBIE,ORM1,ORM2,PIK3R3,PIK3R5,PPP1R10,PPP1R14A,PPP1R14B,PPP2CA,PPP2R2A,PPP2R5D,PPP2R5E,PRKCI,PTPN6,RAP1A,RELA,RHOB,RHOQ,RHOT1	
Telomerase Signaling	5.11E00	2.04E-01	-0.500	ABL1,AKT1,ELF2,GRB2,HDAC4,HDAC7,MAP2K2,MAPK3,NRAS,PIK3R3,PIK3R5,PPP2CA,PPP2R2A,PPP2R2D,PPP2R5D,PPP2R5E,RAF1,RAP1A,SHC1,SOS2,SP1,TERF2	
CNTF Signaling	5.07E00	2.63E-01	-2.840	AKT1,GRB2,MAP2K2,MAPK3,NRAS,PIK3R3,PIK3R5,PTPN11,RAF1,RAP1A,RPS6KA1,RPS6KA2,RPS6KA5,RPS6KB2,STAT3	
FAT10 Signaling Pathway	5.07E00	2.63E-01	NaN	PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,UBA6	
ISG15 antiviral mechanism	5.06E00	2.39E-01	-1.698	EIF4A3,EIF4E,EIF4G1,KPNA3,KPNA5,KPNB1,MAPK3,MX1,MX2,NUP43,NUP54,NUP58,NUP93,PIN1,TPR,TRIM25,UBE2E1	
Cell Cycle Regulation by BTG Family Proteins	5.05E00	3.16E-01	-1.633	CCNE1,CCNE2,CDK4,E2F2,E2F4,E2F8,NOCT,PPP2CA,PPP2R2A,PPP2R2D,PPP2R5D,PPP2R5E	
Hedgehog ligand biogenesis	4.96E00	2.46E-01	-4.000	P4HB,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,VCP	
Death Receptor Signaling	4.85E00	2.08E-01	-2.982	ACTA2,APAF1,CASP10,CASP7,CASP8,CHUK,CYC1,CYCS,FADD,FASLG,LIMK1,NFKB2,NFKBIE,PARP10,PARP14,PARP4,RELA,RIPK1,TBK1,TRADD	
Deubiquitination	4.85E00	1.48E-01	-4.003	ABRAXAS1,ACTL6A,ADRM1,BAP1,FOXK2,H2AC25,KDM1B,KEAP1,MBD5,MYSM1,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,RAD23B,RHOT1,RIPK1,RNF146,RUVBL1,SKP2,STAMBPL1,TADA2B,TNIP2,TRAF3,TRIM25,USP48,VCP,WDR20,WDR48	
Natural Killer Cell Signaling	4.85E00	1.62E-01	-2.475	AKT1,CDC42,FASLG,FCER1G,GRB2,HCST,HSPA1A/HSPA1B,HSPA6,JAK3,LAT,LCP2,LIMK1,MAP2K2,MAP3K11,MAP3K3,MAPK14,MAPK3,MICB,NFKB2,NRAS,PIK3R3,PIK3R5,PTPN11,PTPN6,RAF1,RAP1A,RELA,SOS2,SYK,VAV1,VAV3,WASL	
Protein Ubiquitination Pathway	4.83E00	1.47E-01	-2.920	ANAPC10,BAP1,CUL1,DNAJC14,DNAJC2,DNAJC3,DNAJC6,DNAJC7,ELOC,FBXW7,HSPA1A/HSPA1B,HSPA6,HSPD1,HSPH1,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,SKP1,SKP2,TAP1,UBE2D2,UBE2E1,UBE2H,UBE2I,UBE2J2,USP32,USP45,USP48,USP53	
TCF dependent signaling in response to WNT	4.8E00	1.61E-01	-4.243	AKT1,ASH2L,CDC73,CSNK1A1,CSNK2A2,CSNK2B,CTNNB1,CUL3,CXXC4,DVL3,KAT5,PPP2CA,PPP2R5D,PPP2R5E,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,RNF146,RUVBL1,SMARCA4,XPO1	
Regulation of Apoptosis	4.79E00	2.64E-01	-3.742	PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5	
Role of IL-17F in Allergic Inflammatory Airway Diseases	4.72E00	2.77E-01	-2.309	ATF2,CCL2,CCL4,CREB3,CXCL10,MAP2K2,MAPK3,NFKB2,RAF1,RELA,RPS6KA1,RPS6KA2,RPS6KA5	
TNFR2 non-canonical NF-kB pathway	4.69E00	2.35E-01	-3.500	PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,TNFRSF11A,TRAF3	
RNA polymerase II transcribes snRNA genes	4.68E00	2.17E-01	-2.828	CCNK,GTF2A2,GTF2F1,INTS10,INTS3,INTS5,NABP2,NCBP2,PHAX,POLR2C,POLR2F,RNU4-1,RPAP2,SNAPC1,SP1,SSU72,SUPT4H1,ZNF143	
Interleukin-15 signaling	4.66E00	5E-01	-1.890	GRB2,JAK3,SHC1,SOS2,STAT3,STAT5A,STAT5B	
Colanic Acid Building Blocks Biosynthesis	4.66E00	5E-01	-1.890	GFUS,GMDS,GMPPA,GPI,PMM1,UGDH,UGP2	
Regulation of eIF4 and p70S6K Signaling	4.66E00	1.63E-01	-1.069	AKT1,EIF1,EIF2B1,EIF3I,EIF3J,EIF4A3,EIF4E,EIF4EBP1,EIF4G1,ELP5,GRB2,ITGA6,MAP2K2,MAPK14,MAPK3,MKNK1,NRAS,PIK3R3,PIK3R5,PPP2CA,PPP2R2A,PPP2R2D,PPP2R5D,PPP2R5E,RAF1,RAP1A,RPS19,RPS27L,SHC1,SOS2	
PPAR Signaling	4.65E00	1.96E-01	1.964	AIP,CHUK,CITED2,GRB2,IL1R1,MAP2K2,MAPK3,MED1,NFKB2,NFKBIE,NR1H3,NRAS,RAF1,RAP1A,RELA,RXRA,SCAND1,SHC1,SOS2,STAT5A,STAT5B	
Metabolism of non-coding RNA	4.59E00	2.55E-01	-2.673	DDX20,GEMIN4,NCBP2,NUP43,NUP54,NUP58,NUP93,PHAX,PRMT5,RNU4-1,SNRPB,SNRPD2,SNRPE,TPR	
UFMylation Signaling Pathway	4.59E00	2.42E-01	-0.775	ABCG1,AKT1,ATM,EIF4A3,EIF4E,EIF4G1,ELP5,H3-3A/H3-3B,H4C11,KAT5,MRE11,NFKB2,NR1H3,UFC1,UFM1	
mTOR Signaling	4.55E00	1.54E-01	-1.043	AKT1,ATG13,CDC42,EIF3I,EIF3J,EIF4A3,EIF4E,EIF4EBP1,EIF4G1,FKBP1A,HMOX1,MAPK3,MLST8,NRAS,PIK3R3,PIK3R5,PPP2CA,PPP2R2A,PPP2R2D,PPP2R5D,PPP2R5E,PRKCI,RAP1A,RHOB,RHOQ,RHOT1,RPS19,RPS27L,RPS6KA1,RPS6KA2,RPS6KA5,RPS6KB2,VEGFC	
Signaling by CSF3 (G-CSF)	4.53E00	3.33E-01	-2.530	ELOC,GRB2,HCK,PTPN11,SHC1,STAT3,STAT5A,STAT5B,SYK,UBE2D2	
TP53 Regulates Transcription of DNA Repair Genes	4.53E00	2.29E-01	-2.000	AP1M1,ATF2,ATM,CCNK,CTDP1,ELOA,ELOC,ERCC2,GTF2F1,MLH1,NELFE,POLR2C,POLR2F,SUPT16H,SUPT4H1,TCEA1	
GM-CSF Signaling	4.53E00	2.29E-01	-2.500	AKT1,CISH,GRB2,HCK,MAP2K2,MAPK3,NRAS,PIK3R3,PIK3R5,PTPN11,RAF1,RAP1A,SHC1,SOS2,STAT3,STAT5B	
MicroRNA Biogenesis Signaling Pathway	4.52E00	1.6E-01	-1.826	ABL1,ADAR,AKT1,ATM,DIS3,EWSR1,EXOSC4,EXOSC7,FUS,HMOX1,KHSRP,MAPK14,MAPK3,NRAS,NUP43,NUP54,NUP58,NUP93,PIK3R3,PIK3R5,PIWIL4,POLR2C,POLR2F,RAN,RAP1A,SMAD5,TGFB2,TPR,TSNAX,TUT4	
Cell Cycle Control of Chromosomal Replication	4.5E00	2.5E-01	-1.069	CDC45,CDC6,CDK14,CDK17,CDK4,CDK8,CDT1,DNA2,MCM2,MCM3,MCM5,ORC1,ORC5,POLD1	
Transcriptional regulation by RUNX1	4.49E00	1.71E-01	-4.315	ABL1,ACTL6A,CBX4,CSNK2A2,CSNK2B,ELF2,ITCH,LMO2,PHC2,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,SMARCA4,SMARCD1,SOCS4	
Neurotrophin/TRK Signaling	4.48E00	2.18E-01	-1.698	AKT1,ATF2,CDC42,CREB3,GRB2,MAP2K2,MAP2K5,MAPK3,NRAS,PIK3R3,PIK3R5,PTPN11,RAF1,RAP1A,RPS6KA1,SHC1,SOS2	
Signaling by the B Cell Receptor (BCR)	4.47E00	1.65E-01	-4.158	AHCYL1,CHUK,CUL1,FKBP1A,GRB2,IGKV3-20,NFKBIE,NRAS,PIK3AP1,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,PTPN6,RELA,SKP1,SYK,VAV1	
Kinetochore Metaphase Signaling Pathway	4.46E00	1.91E-01	-0.943	ANAPC10,ARPP19,BUB1,BUB3,CDC27,CDCA8,CENPA,CENPO,CENPW,KAT5,KIF2C,MAD2L2,NSL1,NUF2,PPP1R10,PPP1R14A,PPP1R14B,PPP2R5D,PPP2R5E,SKA3,ZWINT	
Non-Small Cell Lung Cancer Signaling	4.45E00	2.02E-01	-1.897	ABL1,AKT1,CDK4,E2F2,E2F4,GRB2,HDAC4,HDAC7,MAP2K2,MAPK3,NRAS,PIK3R3,PIK3R5,RAF1,RAP1A,RBL1,RXRA,SOS2,TFDP1	
Oncostatin M Signaling	4.45E00	2.79E-01	-2.887	GRB2,JAK3,MAP2K2,MAPK3,MT2A,NRAS,RAF1,RAP1A,SHC1,STAT3,STAT5A,STAT5B	
PDGF Signaling	4.39E00	2.07E-01	-2.828	ABL1,ACP1,CRK,CSNK2A2,CSNK2B,GRB2,JAK3,MAP2K2,MAPK3,NRAS,PIK3R3,PIK3R5,RAF1,RAP1A,SHC1,SOS2,SRF,STAT3	
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	4.34E00	1.88E-01	-1.528	ABL1,ABRAXAS1,ATM,BLM,DNA2,EXO1,KAT5,MRE11,POLD1,POLD2,POLD3,POLK,RAD51AP1,RFC2,RHNO1,RMI1,RNF4,SPIDR,SUMO2,TIMELESS,UBE2I	
IL-6 Signaling	4.33E00	1.78E-01	-3.128	AKT1,CHUK,CRP,CSNK2A2,CSNK2B,GRB2,IL1R1,MAP2K2,MAPK14,MAPK3,NFKB2,NFKBIE,NRAS,PIK3R3,PIK3R5,PTPN11,RAF1,RAP1A,RELA,SHC1,SOS2,SRF,STAT3	
Endocannabinoid Cancer Inhibition Pathway	4.3E00	1.7E-01	-1.000	ADCY3,AKT1,ATF2,CAMKK2,CASP10,CASP5,CASP7,CASP8,CCNE1,CCNE2,CREB3,CTNNB1,GNAI2,MAP2K2,MAP2K5,MAPK14,MAPK3,MLST8,NSMAF,PIK3R3,PIK3R5,PRKACA,RAF1,TRIB3,VEGFC	
Estrogen-mediated S-phase Entry	4.28E00	3.46E-01	-2.828	CCNE1,CCNE2,CDK4,E2F2,E2F4,E2F8,RBL1,SKP2,TFDP1	
Nucleotide Excision Repair	4.25E00	1.96E-01	-1.606	COPS5,COPS7A,DDB1,ERCC2,GPS1,LIG3,PIAS1,POLD1,POLD2,POLD3,POLK,POLR2C,POLR2F,RAD23B,RFC2,SUMO2,TCEA1,UBE2I,USP45	
MSP-RON Signaling in Cancer Cells Pathway	4.21E00	1.71E-01	-2.711	ACTA2,AKT1,ATF2,BRAF,CREB3,CTNNB1,ELF2,GRB2,ITGA6,MAP2K2,MAPK3,NFKB2,NRAS,PIK3R3,PIK3R5,RAF1,RAP1A,RELA,RPS6KA2,SOS2,SP1,STAT3,VEGFC,YWHAG	
Interleukin-7 signaling	4.2E00	3.81E-01	-1.633	BRWD1,CISH,JAK3,PIK3R3,SMARCA4,STAT3,STAT5A,STAT5B	
Nucleotide salvage	4.2E00	3.81E-01	-2.121	ADA,ADAL,AMPD3,GMPR2,TK1,TK2,UCK1,UCK2	
Cilium Assembly	4.19E00	1.52E-01	-1.671	ACTR1A,AKAP9,ARL3,CCT6A,CCT7,CCT8,CEP135,CEP70,CSNK1D,DCTN1,DYNC2I2,DYNLT5,EXOC3,EXOC7,EXOC8,HAUS1,HAUS4,HAUS6,IFT57,IFT74,IFT80,IFT88,PCNT,PLK4,PRKACA,RAB8A,SSNA1,TCP1,TUBA1B,TUBG1,YWHAG	
Integrin signaling	4.13E00	3.33E-01	-2.333	AKT1,CRK,FGA,FGG,GRB2,RAP1A,RAPGEF3,SHC1,SYK	
Fc epsilon receptor (FCERI) signaling	4.11E00	1.5E-01	-3.413	AHCYL1,CHUK,CUL1,FCER1G,GRB2,IGKV3-20,LAT,LCP2,MAPK3,NRAS,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,RELA,SHC1,SKP1,SYK,UBE2D2,VAV1,VAV3	
Glioma Signaling	4.08E00	1.76E-01	-2.309	ABL1,AKT1,CDK4,E2F2,E2F4,E2F8,GRB2,HDAC4,HDAC7,IDH2,MAP2K2,MAPK3,NRAS,PIK3R3,PIK3R5,PRKCI,RAF1,RAP1A,RBL1,SHC1,SOS2,TFDP1	
ABC-family proteins mediated transport	4E00	1.88E-01	-3.900	ABCA8,ABCC1,ABCG1,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,RNF185,VCP	
RAN Signaling	3.99E00	4.12E-01	-0.378	IPO5,KPNA3,KPNA5,KPNB1,RAN,RCC1,XPO1	
Protein Kinase A Signaling	3.97E00	1.24E-01	1.406	ACP1,ADCY3,AKAP13,AKAP7,AKAP9,ANAPC10,APEX1,ATF2,BRAF,CDC27,CHUK,CREB3,CREM,CTNNB1,DUSP5,DUSP7,GDE1,GDPD1,GNAI2,GNB4,GSK3A,GYS1,H1-1,H3-3A/H3-3B,MAP2K2,MAPK3,MYL6B,NFKB2,NFKBIE,PDE12,PDE4A,PDE4D,PDE7A,PDIA3,PLCD3,PPP1R10,PPP1R14A,PPP1R14B,PPP2CA,PRKACA,PRKCI,PTPN11,PTPN2,PTPN6,PTPN7,PTPRE,RAF1,RAP1A,RELA,TGFB2,YWHAG	
Intrinsic Pathway for Apoptosis	3.95E00	2.36E-01	-3.051	AKT1,APAF1,BAK1,BAX,CASP7,CASP8,CYCS,GSDMD,MAPK3,NMT1,STAT3,TFDP1,YWHAG	
Interleukin-3, Interleukin-5 and GM-CSF signaling	3.95E00	2.36E-01	-3.606	CRK,GRB2,HCK,JAK3,PIK3R3,PRKACA,PTPN11,PTPN6,SHC1,STAT5A,STAT5B,SYK,VAV1	
DNA Damage Bypass	3.94E00	2.5E-01	-2.309	DDB1,MAD2L2,PCLAF,POLD1,POLD2,POLD3,POLI,POLK,RFC2,TRIM25,VCP,WDR48	
Interferon gamma signaling	3.93E00	1.91E-01	-3.771	FCGR1BP,GBP3,MT2A,OAS1,OAS2,OASL,PIAS1,PML,PTPN11,PTPN2,PTPN6,TRIM14,TRIM22,TRIM25,TRIM26,TRIM38,TRIM68,TRIM8	
FasL/ CD95L signaling	3.9E00	8E-01	-2.000	CASP10,CASP8,FADD,FASLG	
Thrombopoietin Signaling	3.89E00	2.22E-01	-3.207	GRB2,MAP2K2,MAPK3,NRAS,PIK3R3,PIK3R5,PRKCI,PTPN11,RAF1,RAP1A,SHC1,STAT3,STAT5A,STAT5B	
Sumoylation Pathway	3.89E00	1.84E-01	0.775	CBX4,CDC42,CEBPA,FASLG,NFKB2,PIAS1,PML,RAN,RCC1,RFC2,RHOB,RHOQ,RHOT1,RNF4,SAE1,SENP1,SP1,SUMO2,UBE2I	
Prolactin Signaling	3.87E00	1.89E-01	-2.668	CCDC51,GRB2,MAP2K2,MAPK3,NRAS,PIK3R3,PIK3R5,PRKCI,PTPN11,RAF1,RAP1A,SHC1,SOCS4,SOS2,SP1,STAT3,STAT5A,STAT5B	
Growth Hormone Signaling	3.87E00	2.11E-01	-2.324	CEBPA,MAPK3,PIK3R3,PIK3R5,PRKCI,PTPN6,RPS6KA1,RPS6KA2,RPS6KA5,RPS6KB2,SOCS4,SRF,STAT3,STAT5A,STAT5B	
EGF Signaling	3.86E00	2.32E-01	-3.051	AKT1,CSNK2A2,CSNK2B,GRB2,MAPK14,MAPK3,PIK3R3,PIK3R5,RAF1,SHC1,SOS2,SRF,STAT3	
TP53 Regulates Transcription of Cell Cycle Genes	3.84E00	2.45E-01	-1.732	ARID3A,BAX,CCNE1,CCNE2,CNOT10,CNOT3,CNOT8,E2F4,E2F8,GADD45A,RBL1,TFDP1	
Apoptosis Signaling	3.83E00	1.83E-01	0.000	APAF1,BAK1,BAX,CASP10,CASP7,CASP8,CHUK,CYC1,CYCS,FASLG,MAP2K2,MAPK3,NFKB2,NFKBIE,NRAS,RAF1,RAP1A,RELA,RPS6KA1	
Mitochondrial Dysfunction	3.8E00	1.28E-01	3.507	ARG2,ATF2,ATP5F1A,ATP5F1E,ATP5MC3,ATP5PD,ATP5PF,ATP5PO,BAX,CACNB1,COX5A,COX7A2,COX8A,CREB3,CYB5B,CYC1,CYCS,FBXW7,FUS,IDH2,NDUFA13,NDUFA2,NDUFA8,NDUFAB1,NDUFB10,NDUFB3,NDUFB7,NDUFB8,NDUFS3,NDUFS7,NDUFS8,NDUFV3,OGDH,PIK3R3,PIK3R5,PRKACA,RAPGEF3,RHOT1,SDHC,TARDBP,TOMM22,TOMM34,UQCRC1,UQCRH	
COPII-mediated vesicle transport	3.79E00	2.08E-01	-0.258	CSNK1D,PPP6C,PPP6R3,PREB,RAB1A,SCFD1,SEC23B,SEC23IP,SEC24B,SEC24C,SEC31A,TMED2,TRAPPC2L,TRAPPC3,YKT6	
Glucose metabolism	3.79E00	2E-01	-3.000	GNPDA1,GOT1,GPI,HK3,MDH1,NUP43,NUP54,NUP58,NUP93,PFKFB4,PPP2CA,PPP2R5D,PRKACA,SLC25A11,TPI1,TPR	
Role of BRCA1 in DNA Damage Response	3.79E00	2E-01	2.111	ABRAXAS1,ATM,BLM,E2F2,E2F4,E2F8,FANCE,FANCG,GADD45A,MLH1,MRE11,MSH6,RBL1,RFC2,SMARCA4,SMARCD1	
Signaling by SCF-KIT	3.75E00	2.56E-01	-2.714	FES,GRB2,KITLG,NRAS,PIK3R3,PTPN11,PTPN6,STAT3,STAT5A,STAT5B,VAV1	
Salvage Pathways of Pyrimidine Ribonucleotides	3.75E00	1.86E-01	-1.886	AK9,APOBEC3G,BRAF,CDADC1,CDK4,CDK8,CSNK1A1,CSNK1D,DYRK1A,LIMK1,MAK,MAP2K2,MAPK3,NME6,NME7,PKN1,UCK1,UCK2	
Induction of Apoptosis by HIV1	3.74E00	2.15E-01	-2.496	APAF1,BAK1,BAX,CASP8,CHUK,CYC1,CYCS,FADD,FASLG,NFKB2,NFKBIE,RELA,RIPK1,TRADD	
LXR/RXR Activation	3.73E00	1.71E-01	-1.213	ABCG1,APOA2,APOB,APOH,ARG2,C3,CCL2,ECHS1,FDFT1,FGA,IL1R1,MYLIP,NFKB2,NR1H2,NR1H3,ORM1,ORM2,RELA,RXRA,SAA1,SCD	
OAS antiviral response	3.72E00	5.56E-01	-2.236	OAS1,OAS2,OASL,PDE12,RNASEL	
Role of CHK Proteins in Cell Cycle Checkpoint Control	3.7E00	2.24E-01	0.333	ATM,ATMIN,E2F2,E2F4,E2F8,MRE11,PPP2CA,PPP2R2A,PPP2R2D,PPP2R5D,PPP2R5E,RFC2,TLK2	
TNFR1 Signaling	3.67E00	2.35E-01	-2.309	APAF1,CASP7,CASP8,CDC42,CHUK,CYCS,FADD,NFKB2,NFKBIE,RELA,RIPK1,TRADD	
Granzyme A Signaling	3.65E00	2.03E-01	3.873	APEX1,H1-1,LMNB2,NDUFA13,NDUFA2,NDUFA8,NDUFAB1,NDUFB10,NDUFB3,NDUFB7,NDUFB8,NDUFS3,NDUFS7,NDUFS8,NDUFV3	
Signaling by ROBO receptors	3.64E00	1.72E-01	-3.130	ABL1,CDC42,CLASP2,ELOC,PRKACA,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,SOS2	
VEGF Signaling	3.63E00	1.82E-01	-1.500	ACTA2,ACTN4,AKT1,EIF1,EIF2B1,GRB2,MAP2K2,MAPK3,NRAS,PIK3R3,PIK3R5,PTPN11,PTPN6,RAF1,RAP1A,SHC1,SOS2,VEGFC	
Cristae formation	3.61E00	2.9E-01	-3.000	ATP5F1A,ATP5F1E,ATP5MC3,ATP5PD,ATP5PF,ATP5PO,CHCHD3,IMMT,MTX1	
NER (Nucleotide Excision Repair, Enhanced Pathway)	3.61E00	1.87E-01	-1.000	COPS5,COPS7A,DDB1,DNA2,ERCC2,GPS1,LIG3,POLD1,POLD2,POLD3,POLK,POLR2C,POLR2F,RAD23B,RFC2,TCEA1,UBE2I	
PI3K/AKT Signaling	3.6E00	1.45E-01	-1.225	AKT1,CHUK,CTNNB1,EIF4E,EIF4EBP1,GRB2,GSK3A,GYS1,IL1R1,ITGA6,JAK3,MAP2K2,MAPK3,NFKB2,NFKBIE,NRAS,PIK3R3,PPP2CA,PPP2R2A,PPP2R2D,PPP2R5D,PPP2R5E,RAF1,RAP1A,RELA,RPS6KB2,SHC1,SOS2,YWHAG	
TCR signaling	3.58E00	1.67E-01	-3.273	CHUK,CUL1,LAT,LCP2,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,RELA,SKP1,UBE2D2	
ATM Signaling	3.58E00	1.8E-01	0.905	ABL1,ATF2,ATM,BLM,CREB3,GADD45A,H4C11,HP1BP3,KAT5,MAPK14,MRE11,PPM1D,PPP2CA,PPP2R2A,PPP2R2D,PPP2R5D,PPP2R5E,TLK2	
Transcriptional regulation of white adipocyte differentiation	3.53E00	1.9E-01	-2.500	ADIRF,CCNC,CDK4,CDK8,CEBPA,EGR2,KLF4,MED1,MED11,MED13,MED19,MED9,RELA,RXRA,THRAP3,ZNF467	
PEDF Signaling	3.53E00	1.9E-01	-3.357	AKT1,CASP7,CASP8,CHUK,FASLG,MAPK14,MAPK3,NFKB2,NFKBIE,NRAS,PIK3R3,PIK3R5,RAF1,RAP1A,RELA,SRF	
Angiopoietin Signaling	3.52E00	1.97E-01	-1.732	AKT1,CHUK,CRK,GRB14,GRB2,NFKB2,NFKBIE,NRAS,PIK3R3,PIK3R5,PTPN11,RAP1A,RELA,STAT5A,STAT5B	
Necroptosis Signaling Pathway	3.51E00	1.55E-01	-2.858	CASP10,CASP8,CHUK,FADD,FASLG,FKBP1A,GLUD1,MLKL,PGAM5,PPID,RBCK1,RBL1,RIPK1,TICAM1,TIMM10,TIMM17A,TIMM44,TIMM8B,TOMM22,TOMM34,TOMM40L,TOMM5,TRADD,TRPM7	
Spliceosomal Cycle	3.5E00	2.26E-01	-3.317	BUD13,DDX23,DDX46,DHX15,DHX16,DHX8,EIF4A3,RBM8A,SF3B2,SF3B4,SF3B5,SNIP1	
