© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Fc epsilon receptor (FCERI) signaling	8.59E00	1.99E-01	-4.218	BCL10,CALM1 (includes others),FOS,GAB2,GRAP2,IGKC,IGKV1-5,IGKV4-1,IGLC2,ITPR1,ITPR2,JUN,KRAS,NFKBIA,PAK1,PAK2,PIK3CB,PPP3R1,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,RASGRP2,RASGRP4,TEC,UBC,UBE2D1,UBE2N	
Transcriptional regulation by RUNX3	8.57E00	2.71E-01	-3.674	BCL2L11,BRD2,CDKN1A,KRAS,MAML3,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,RBPJ,RUNX1,TGFB1,UBC	
Interferon alpha/beta signaling	8.55E00	3.1E-01	-4.690	EGR1,GBP2,IFI27,IFI6,IFIT1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IFITM3,IFNAR1,IRF1,ISG15,ISG20,OAS3,PSMB8,PTPN1,RSAD2,SOCS3,STAT1,XAF1	
NIK-->noncanonical NF-kB signaling	8.45E00	3.33E-01	-4.472	PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,RELB,UBC,UBE2M	
BAG2 Signaling Pathway	8.36E00	2.82E-01	0.333	ANXA2,CDKN1A,HSP90AA1,HSPA5,HSPA9,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,RELB,UBE2D1	
Inhibition of ARE-Mediated mRNA Degradation Pathway	8.32E00	2.15E-01	0.655	AGO4,AKT3,CNOT7,PPM1L,PPP2R5C,PRKACB,PRKAR1A,PRKAR2B,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,TNFRSF1A,TNFSF10,TNFSF13B,TNFSF14,TNFSF4,YWHAB,YWHAE,YWHAZ,ZFP36,ZFP36L1	
Mitotic Prometaphase	8.26E00	1.97E-01	-1.581	AURKB,BIRC5,CCNB2,CDC20,CDCA5,CDK1,CENPE,CENPF,CENPT,DCTN3,DYNC1I1,DYNC1LI2,DYNLL1,HSP90AA1,INCENP,ITGB3BP,KIF2A,MAD2L1,NDC80,NEK2,NEK7,PLK1,PPP2R5C,PRKAR2B,RAD21,RANGAP1,SEC13,SFI1,SKA1,SMC2,SPC24,TAOK1,TUBA1A,TUBA1C,TUBA4A,TUBA8,TUBB,TUBB1,TUBGCP4,YWHAE	
Hedgehog 'off' state	8.23E00	2.48E-01	-2.294	GNAS,GSK3B,PRKACB,PRKAR1A,PRKAR2B,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,RBX1,TUBA1A,TUBA1C,TUBA4A,TUBB1,UBC	
TNFR2 non-canonical NF-kB pathway	8.16E00	3.09E-01	-4.583	LTBR,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,TNFSF13B,TNFSF14,UBC	
Gap Junction Signaling	8.09E00	1.66E-01	0.962	AKT3,BIRC5,CALM1 (includes others),CDKN1B,CREB5,CTTN,DLG1,EGF,GNAI3,GNAQ,GNAS,GSK3B,GUCY1A1,GUCY1B1,GZMB,IL1B,ITPR1,ITPR2,KRAS,LPAR6,MAP3K5,OXTR,P2RY1,P2RY12,P2RY13,PIK3C3,PIK3CB,PLA2G12A,PLA2G4A,PLCB4,PLCH1,PPP3R1,PRKACB,PRKAR1A,PRKAR2B,PRKG1,PTGER2,RALB,RAP1B,RAP2B,RELB,SMAD2,SP3,TGFB1,TLR4,TNFRSF1A,TUBA1A,TUBA1C,TUBA4A,TUBA8,TUBB,TUBB1,VDAC1,VDAC3	
CXCR4 Signaling	7.96E00	2.08E-01	0.600	AKT3,EGR1,FOS,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GUCY1A1,GUCY1B1,ITPR1,ITPR2,JUN,KRAS,MYL12A,PAK1,PAK2,PIK3C3,PIK3CB,PLCB4,PTK2,PXN,RAC2,RALB,RAP1B,RAP2B,RHOG,ROCK2	
Signaling by NOTCH4	7.87E00	2.77E-01	-3.128	ADAM10,MAML3,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,RBPJ,RBX1,UBC,YWHAZ	
TCR signaling	7.72E00	2.3E-01	-4.271	BCL10,GRAP2,NFKBIA,PAK1,PAK2,PIK3CB,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,PTEN,PTPRJ,UBC,UBE2D1,UBE2N,VASP	
CCR3 Signaling in Eosinophils	7.67E00	2.24E-01	1.155	CALM1 (includes others),GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,ITPR1,ITPR2,KRAS,LIMK2,MYLK,PAK1,PAK2,PIK3C3,PIK3CB,PLA2G12A,PLA2G4A,PLCB4,PPP1CB,RALB,RAP1B,RAP2B,ROCK2	
Degradation of beta-catenin by the destruction complex	7.62E00	2.61E-01	-4.082	CTBP2,FRAT2,GSK3B,PPP2R5C,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,RBX1,TLE3,UBC	
Regulation of RUNX2 expression and activity	7.56E00	2.88E-01	-3.710	GSK3B,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,RBX1,STAT1,UBC	
Platelet homeostasis	7.55E00	2.67E-01	1.460	ATP2A2,ATP2B4,CALM1 (includes others),GNAS,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GUCY1A1,GUCY1B1,ITPR1,ITPR2,ORAI1,PDE5A,PLA2G4A,PPP2R5C,PRKG1,SLC8A1,SRI,TRPC6	
Interleukin-1 family signaling	7.48E00	2.25E-01	-4.271	CASP1,IL18RAP,IL1B,IL1RN,MYD88,NFKBIA,PELI1,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,PTPN12,PTPN18,RBX1,UBC,UBE2N	
HER-2 Signaling in Breast Cancer	7.33E00	1.81E-01	1.947	AKT3,ARF6,BCL2L11,BIRC5,CDKN1A,CDKN1B,COPS6,COX17,COX5B,COX6A1,COX6C,COX7A2L,COX7C,EGF,ELK3,FOS,GSK3B,ITGB1,ITGB2,ITGB5,JUN,KRAS,MT-CO1,MT-CO2,MT-CO3,NFKBIA,NFKBIB,NUP214,NUP50,PARD3,PDK1,PIK3C3,PIK3CB,PTEN,RALB,RAP1B,RAP2B,RELB,RHEB,RPS6,SEC13	
FAT10 Signaling Pathway	7.26E00	3.16E-01	-1.000	MAP1LC3B,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3	
P2Y Purigenic Receptor Signaling Pathway	7.17E00	2.18E-01	1.460	AKT3,CREB5,FOS,GNAI3,GNAQ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GUCY1A1,GUCY1B1,JUN,KRAS,P2RY1,P2RY12,PIK3C3,PIK3CB,PLCB4,PLCH1,PRKACB,PRKAR1A,PRKAR2B,RALB,RAP1B,RAP2B,RELB	
Apelin Endothelial Signaling Pathway	7.14E00	2.13E-01	1.414	AKT3,ANGPT1,CALM1 (includes others),FOS,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GUCY1A1,GUCY1B1,ICAM1,JUN,KRAS,MEF2C,PIK3C3,PIK3CB,PLCB4,PRKAA1,RALB,RAP1B,RAP2B,RELB	
DNA methylation	7.13E00	4.62E-01	-2.309	DNMT1,H2AC14,H2AC20,H2AC6,H2AX,H2AZ2,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,UHRF1	
ERK/MAPK Signaling	7.05E00	1.81E-01	1.372	CREB5,CRKL,DUSP1,ELK3,FOS,H3-3A/H3-3B,H3C3,ITGA2,ITGB1,ITGB2,ITGB5,KRAS,MKNK2,PAK1,PAK2,PIK3C3,PIK3CB,PLA2G12A,PLA2G4A,PPARG,PPM1L,PPP1CA,PPP1CB,PPP1R11,PPP1R7,PPP2R5C,PRKACB,PRKAR1A,PRKAR2B,PTK2,PXN,RAC2,RALB,RAP1B,RAP2B,STAT1,TLN1,YWHAB,YWHAZ	
Oxytocin in Brain Signaling Pathway	7.01E00	1.86E-01	2.795	AKT3,CALM1 (includes others),CASP1,CREB5,DDIT3,GNAI3,GNAO1,GNAQ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,IL1B,ITPR1,ITPR2,KRAS,MEF2C,NLRP3,OXTR,PIK3C3,PIK3CB,PLA2G12A,PLA2G4A,PLAAT1,PNPLA8,PRDX6,PTGS1,PTPN1,PYCARD,RALB,RAP1B,RAP2B,RGS2,TLR4	
Role of PKR in Interferon Induction and Antiviral Response	6.94E00	2.13E-01	-1.000	BID,CASP1,EIF2AK2,EIF2S1,FCGR1A,FOS,HMGB1,HSP90AA1,HSP90B1,HSPA5,HSPA9,IFIH1,IFNAR1,IFNGR2,IL1B,IRF1,JUN,MARCO,METAP2,MYD88,NFKBIA,NFKBIB,NLRP3,PDGFA,PYCARD,RELB,STAT1,TLR4,TNFRSF1A	
Autophagy	6.94E00	1.8E-01	-1.761	AKT3,ARL8B,ATG101,ATG3,BIRC6,BMP6,CALM1 (includes others),CDKN1B,CHP1,CREB5,DDIT3,EGF,FOS,GABARAP,GABARAPL2,GNAI3,GSK3B,IRS1,JUN,MAP1LC3B,MAP1LC3B2,MYD88,NRBF2,PIK3C3,PIK3CB,PPM1L,PPP2R5C,PPP3R1,PRKAA1,PRKACB,PRKAR1A,PRKAR2B,PTEN,RALB,RGS19,TGFB1,TLR4,TNFRSF1A,VPS41	
Processing of Capped Intron-Containing Pre-mRNA	6.94E00	1.64E-01	-5.980	BCAS2,BUD31,CASC3,CWC15,CWC25,FIP1L1,HNRNPA2B1,HNRNPA3,HNRNPC,HNRNPD,HNRNPR,HNRNPU,ISY1,LSM3,LSM6,MAGOH,MAGOHB,NUP214,NUP50,POLR2J,POLR2K,POLR2L,PPIG,PRPF38A,RBM17,RBM7,RNU5B-1,SEC13,SF3A3,SF3B1,SF3B6,SLU7,SNRNP25,SNRNP27,SNRPA,SNRPB2,SNRPC,SNRPD1,SNRPF,SNRPG,SRSF1,SRSF3,SRSF6,SRSF7,SRSF9,WTAP,YBX1	
RAC Signaling	6.87E00	2.12E-01	0.408	ABI2,ARPC2,ARPC3,BRK1,IQGAP1,IQGAP2,ITGA2,ITGB1,ITGB2,ITGB5,JUN,KRAS,LIMK2,NCF2,NCKAP1,PAK1,PAK2,PARD3,PIK3C3,PIK3CB,PIP4K2A,PIP5K1C,PLD1,PTK2,RAC2,RALB,RAP1B,RAP2B,RELB	
Androgen Signaling	6.84E00	1.95E-01	1.667	CALM1 (includes others),CALR,DNAJB1,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GTF2E2,H3-3A/H3-3B,H3C3,HSP90AA1,ITPR1,ITPR2,JUN,NCOA2,NCOA4,POLR2J,POLR2K,POLR2L,PRKACB,PRKAR1A,PRKAR2B,RELB,TAF12,TAF15	
Serotonin Receptor Signaling	6.81E00	1.41E-01	1.723	ADRA2A,AKT3,APP,ARRB2,CALM1 (includes others),CREB5,F13A1,FFAR2,FGB,GNAI3,GNAO1,GNAQ,GNAS,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GSK3B,GUCY1A1,GUCY1B1,H3-3A/H3-3B,H3C3,IL1B,ITGB1,JUN,KRAS,MAP1LC3B,MAP3K5,MMP9,MYLK,NFKBIA,ORAI1,PAK1,PAK2,PDK1,PIK3C3,PIK3CB,PLA2G12A,PLA2G4A,PLAAT1,PLAUR,PLCB4,PLCH1,PLD1,PNPLA8,PPP1CB,PRDX6,PRKACB,PRKAR1A,PRKAR2B,PTGS1,RAB27A,RAC2,RALB,RAP1B,RAP2B,RHOG,ROCK2,SLC18A2,SLC6A4,TGFB1,TGM2,TRPC6	
Mitotic Roles of Polo-Like Kinase	6.79E00	2.84E-01	-2.138	ANAPC11,ANAPC13,ANAPC5,CCNB2,CDC20,CDC25A,CDC26,CDK1,FBXO5,HSP90AA1,HSP90B1,KIF11,PLK1,PLK3,PPM1L,PPP2R5C,PTTG1,RAD21,TGFB1	
Oxytocin Signaling Pathway	6.75E00	1.63E-01	2.654	AKT3,ARRB2,ATP2B4,CALM1 (includes others),CCL5,CD36,CHP1,CREB5,FOS,GNAI3,GNAO1,GNAQ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GSK3B,GUCY1A1,GUCY1B1,ITPR1,ITPR2,KRAS,MEF2C,MYLK,OXTR,PIK3C3,PIK3CB,PLA2G12A,PLA2G4A,PLCB4,PPARG,PPP1CB,PPP3R1,PRKAA1,PRKACB,PRKAR1A,PRKAR2B,PRKG1,RALB,RAP1B,RAP2B,RELB,ROCK2	
Signaling by ROBO receptors	6.75E00	2.24E-01	-3.530	ELOB,NCK2,PAK1,PAK2,PRKACB,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,RBX1,UBC,USP33,VASP	
RHO GTPases Activate Formins	6.73E00	2.09E-01	-0.557	AURKB,BIRC5,CDC20,CENPE,CENPF,CENPT,DAAM1,DIAPH1,DYNC1I1,DYNC1LI2,DYNLL1,INCENP,ITGB1,ITGB3BP,KIF2A,MAD2L1,NDC80,PLK1,PPP2R5C,RANGAP1,SEC13,SKA1,SPC24,TAOK1,TUBA1A,TUBA1C,TUBA4A,TUBA8,TUBB1	
NoRC negatively regulates rRNA expression	6.72E00	3.68E-01	-2.138	DNMT1,H2AC14,H2AC20,H2AC6,H2AX,H2AZ2,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,SAP30BP,SMARCA5,TTF1	
Interleukin-4 and Interleukin-13 signaling	6.64E00	2.27E-01	-2.600	ANXA1,BATF,BCL6,BIRC5,CD36,CDKN1A,CEBPD,F13A1,FN1,FOS,HSP90AA1,ICAM1,IGHG1,IL1B,ITGB1,ITGB2,JUNB,MCL1,MMP9,PIM1,SOCS3,STAT1,STAT6,TGFB1,VIM	
IL-1 Signaling	6.6E00	2.4E-01	-0.333	FOS,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GUCY1A1,GUCY1B1,JUN,MYD88,NFKBIA,NFKBIB,PRKACB,PRKAR1A,PRKAR2B,RELB	
Formation of Fibrin Clot (Clotting Cascade)	6.56E00	3.59E-01	0.535	C1QBP,CD177,F13A1,F2R,F5,FGB,GP1BA,GP5,GP9,PF4,PF4V1,PROS1,PRTN3,SERPING1	
TCF dependent signaling in response to WNT	6.53E00	1.81E-01	-4.333	FRAT2,GSK3B,H2AC14,H2AC20,H2AC6,H2AX,H2AZ2,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,KREMEN1,PPP2R5C,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,RBX1,TLE3,UBC,USP34,YWHAZ	
Hypoxia Signaling in the Cardiovascular System	6.53E00	2.63E-01	-1.633	BIRC6,CREB5,HSP90AA1,HSP90B1,JUN,LDHA,NFKBIA,NFKBIB,PTEN,SUMO1,UBE2D1,UBE2D3,UBE2E3,UBE2F,UBE2K,UBE2L6,UBE2M,UBE2N,UBE2Q2,UBE2S	
Epithelial Adherens Junction Signaling	6.52E00	1.96E-01	-0.365	ACVR1,ACVR2A,AKT3,ARPC2,ARPC3,DIAPH1,ECT2,EGF,FER,IQGAP1,KIF20A,KRAS,LIMK2,MYL12A,PAK1,PAK2,PPM1L,PPP2R5C,PRKAA1,PTEN,RACGAP1,RALB,RAP1B,RAP2B,ROCK2,STK3,STK4,VCL,YWHAB,YWHAE,YWHAZ	
PTEN Regulation	6.52E00	2E-01	-4.158	AGO4,AKT3,EGR1,JUN,LAMTOR2,LAMTOR4,LAMTOR5,PHC3,PPARG,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,PTEN,RHEB,RRAGD,UBC	
GPER1 signaling	6.5E00	3.33E-01	0.775	FN1,GNAI3,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,ITGB1,PRKACB,PRKAR1A,PRKAR2B	
Axonal Guidance Signaling	6.44E00	1.35E-01	NaN	ABLIM1,ABLIM3,ADAM10,ADAM22,ADAM9,AKT3,ARHGEF12,ARPC2,ARPC3,BMP6,CHP1,CRKL,DPYSL2,EGF,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GSK3B,ITGA2,ITGB1,ITGB2,ITGB5,KRAS,LIMK2,LNPEP,MMP8,MMP9,MYL12A,NCK2,NFAT5,PAK1,PAK2,PDGFA,PIK3C3,PIK3CB,PLCB4,PLCH1,PLXNC1,PPP3R1,PRKACB,PRKAR1A,PRKAR2B,PTK2,PXN,RAC2,RALB,RAP1B,RAP2B,RASA1,RASSF5,ROCK2,SEMA4D,TUBA1A,TUBA1C,TUBA4A,TUBA8,TUBB,TUBB1,VASP,WIPF1	
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	6.4E00	1.69E-01	0.632	AKT3,ARPC2,ARPC3,CLDN5,FOS,FOSB,FOSL2,GSK3B,GUCY1A1,GUCY1B1,ICAM1,IL18RAP,ILK,IQGAP1,ITGA2,ITGB1,JAM3,JUN,KRAS,MAP3K5,MMP8,MMP9,PIK3C3,PIK3CB,PPM1L,PPP2R5C,PRKAA1,PRKACB,PRKAR1A,PRKAR2B,PRKG1,PTK2,RAC2,RALB,RAP1B,RAP2B,SMAD2,SP3,TGFB1,TNFRSF1A	
B-WICH complex positively regulates rRNA expression	6.35E00	3.08E-01	-2.000	ERCC6,GSK3B,H2AC14,H2AC20,H2AC6,H2AX,H2AZ2,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,POLR2K,POLR2L,SF3B1,SMARCA5	
Hedgehog ligand biogenesis	6.3E00	2.77E-01	-4.243	PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,UBC	
Signaling by the B Cell Receptor (BCR)	6.28E00	1.88E-01	-4.017	BCL10,CALM1 (includes others),DAPP1,IGKC,IGKV1-5,IGKV4-1,IGLC2,ITPR1,ITPR2,KRAS,NFKBIA,NFKBIB,ORAI1,PPP3R1,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,UBC	
Gαq Signaling	6.28E00	1.88E-01	2.132	AKT3,AVPR1A,CALM1 (includes others),CHP1,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GSK3B,ITPR1,ITPR2,NFKBIA,NFKBIB,PIK3C3,PIK3CB,PLCB4,PLD1,PPP3R1,RAC2,RELB,RGS18,RGS2,RHOG,ROCK2	
Ephrin B Signaling	6.25E00	2.64E-01	1.155	ABI1,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,NCK2,PAK1,PTK2,PXN,RAC2,ROCK2	
Relaxin Signaling	6.2E00	1.94E-01	2.065	AKT3,FOS,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GUCY1A1,GUCY1B1,JUN,MMP9,NFKBIA,NFKBIB,PDE3A,PDE5A,PIK3C3,PIK3CB,PRKACB,PRKAR1A,PRKAR2B,RAP1B,RELB,TDP2	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	6.15E00	1.5E-01	NaN	AKT3,C5AR1,CALM1 (includes others),CCL5,CEBPB,CEBPD,CEBPE,CHP1,CREB5,DAAM1,FCGR1A,FCGR3A/FCGR3B,FN1,FOS,GNAO1,GNAQ,GSK3B,ICAM1,IGHG1,IGKC,IGLC2,IL18RAP,IL1B,IL1RN,IL7,JCHAIN,JUN,KRAS,LTBR,MYD88,NFAT5,NFKBIA,NFKBIB,NLK,PDGFA,PIK3C3,PIK3CB,PLCB4,PLCH1,PPP3R1,RALB,RAP1B,RAP2B,ROCK2,SOCS3,TGFB1,TLR1,TLR4,TNFRSF1A,TNFSF13B	
Gαi Signaling	6.13E00	2E-01	-1.342	ADRA2A,CXCR2,FPR1,FPR2,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GUCY1A1,GUCY1B1,KRAS,P2RY12,P2RY13,PRKACB,PRKAR1A,PRKAR2B,RALB,RAP1B,RAP2B,RGS10	
Macrophage Alternative Activation Signaling Pathway	6.1E00	1.79E-01	-0.343	ABCA1,ARG1,CD36,CEBPB,CREB5,DUSP1,FOS,FPR1,H3-3A/H3-3B,H3C3,HLA-DOA,IGHG1,IGKC,IGLC2,IL1B,IL1RN,IRS1,JCHAIN,JUN,MARCO,NFKBIA,NFKBIB,PF4,PIK3C3,PIK3CB,PPARG,RELB,RPS6KC1,SOCS3,STAT1,STAT6,TGFB1,THBS1,TLR4	
Meiotic recombination	6.09E00	3.12E-01	-2.324	H2AC14,H2AC20,H2AC6,H2AX,H2AZ2,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,MLH3,NBN,RAD51,RPA1,RPA3	
Activation of anterior HOX genes in hindbrain during early embryogenesis	6.04E00	2.47E-01	-1.789	H2AC14,H2AC20,H2AC6,H2AX,H2AZ2,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,JUN,KMT2C,MEIS1,PBX1,PIAS2,POLR2J,POLR2K,POLR2L,RARA,RARG	
ESR-mediated signaling	6.02E00	2.12E-01	-2.600	AGO4,FOS,FOSB,H2AC14,H2AC20,H2AC6,H2AX,H2AZ2,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,HSP90AA1,JUN,KPNA2,MYB,NCOA2,NRIP1,POLR2J,POLR2K,POLR2L,RAD21,RUNX1,TLE3	
Colorectal Cancer Metastasis Signaling	6.02E00	1.59E-01	-0.928	AKT3,APPL1,BIRC5,EGF,FOS,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GRK3,GSK3B,GUCY1A1,GUCY1B1,JUN,KRAS,MMP8,MMP9,PIK3C3,PIK3CB,PRKACB,PRKAR1A,PRKAR2B,PTGER2,RAC2,RALB,RAP1B,RAP2B,RELB,RHOG,SMAD2,STAT1,TGFB1,TLR1,TLR4,TNFRSF1A	
PI3K/AKT Signaling	6.02E00	1.75E-01	0.000	AKT3,CDKN1A,CDKN1B,CSF2RB,CXCR1,CXCR2,GAB2,GSK3B,HSP90AA1,HSP90B1,IFNAR1,IL18RAP,ILK,ITGA2,ITGB1,ITGB2,ITGB5,KRAS,LIMS1,MAP3K5,MCL1,NFKBIA,NFKBIB,PIK3CB,PPM1L,PPP2R5C,PTEN,RALB,RAP1B,RAP2B,RELB,RHEB,YWHAB,YWHAE,YWHAZ	
Actin Cytoskeleton Signaling	6.02E00	1.64E-01	1.372	ABI2,ACTN1,ARHGEF12,ARPC2,ARPC3,BRK1,CRKL,DIAPH1,EGF,F2R,FN1,IQGAP1,IQGAP2,ITGA2,ITGB1,ITGB2,ITGB5,KRAS,LIMK2,MYL12A,MYLK,NCKAP1,PAK1,PAK2,PDGFA,PIK3C3,PIK3CB,PIP5K1C,PPP1CB,PTK2,PXN,RAC2,RALB,RAP1B,RAP2B,ROCK2,SLC9A1,TLN1,TMSB10/TMSB4X,VCL	
Activin Inhibin Signaling Pathway	5.99E00	1.7E-01	-1.151	ACVR1,ACVR2A,AKT3,CCND2,CDKN1A,CDKN1B,CEBPB,EGLN3,FOS,FOSB,FOSL2,GATA2,GSK3B,IGHG1,IGKC,IGLC2,IL18RAP,IL1B,IL1RN,JCHAIN,JUN,LIMK2,MAX,MXD1,MYD88,NFKBIA,PIK3C3,PIK3CB,PPARG,ROCK2,SKIL,SMAD2,TGFB1,TLR1,TLR4,TNFRSF1A,TNFSF13B	
Nonhomologous End-Joining (NHEJ)	5.96E00	3.06E-01	-2.324	BARD1,H2AX,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,NBN,NSD2,RNF168,TDP2,UBE2N,UIMC1,XRCC5,XRCC6	
Endocannabinoid Developing Neuron Pathway	5.94E00	2.05E-01	0.000	AKT3,CDKN1B,CREB5,GNAI3,GNAO1,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GSK3B,GUCY1A1,GUCY1B1,KRAS,MGLL,PIK3C3,PIK3CB,PRKACB,PRKAR1A,PRKAR2B,RAC2,RALB,RAP1B,RAP2B	
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	5.9E00	2.14E-01	-2.858	BARD1,CCNA2,CLSPN,H2AX,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,NBN,NSD2,PCNA,POLE2,POLE4,PPP4C,PPP4R2,RAD51,RNF168,RPA1,RPA3,TOPBP1,UBC,UBE2N,UIMC1	
Microautophagy Signaling Pathway	5.89E00	1.88E-01	-3.024	CHMP2A,CHMP4B,COL17A1,COL24A1,DNM1L,MAP1LC3B,MAP1LC3B2,PRKAA1,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,SEC13,SEC24D,SNF8,VPS37A,VPS41	
